#,German,English,Srpski
4401,die Freiheitsstrafe; n,"the imprisonment, prison sentence","Казна затвора, затворска казна"
4402,der Stellvertreter; -,"the deputy (politics), proxy, representative, delegate","заменик (политика), проки, представник, делегат"
4403,gleichermaßen,"comparably, in equal measure, likewise, similarly ('g_')","Упоређивање, у једнакој мери, слично, слично ('Г_')"
4404,größtenteils,"largely, mostly, for the most part (1 word)","у великој мери, углавном, углавном (1 реч)"
4405,die Schlafmöglichkeit; -en,the sleeping facility,спаваћи објекат
4406,die Schrecken; -,"the horror, the terror, the shock","ужас, терор, шок"
4407,die Zusammensetzung; -en,"the composition, structure, compound (chem), formulation","Композиција, структура, једињење (ЦХЕМ), формулација"
4408,die Aufklärung,"the Enlightenment, information, clarification","просветљење, информације, појашњење"
4409,sich wohl fühlen,to feel well,да се добро осећам
4410,von selbst,"by oneself, by itself, of ones own accord (2 words)","сама по себи, самима властитих споразума (2 речи)"
4411,das heißt (d.h.),"that is (i.e.), that is to say, which is to say, that means","то је (тј.), то је за рећи, што значи рећи, то значи"
4412,bisherig,"previous, present, former, so far, until now (b~)","Претходни, садашњи, први, до сада (Б ~)"
4413,der Berater; -,"the consultant, counselor, adviser","Консултант, саветник, саветник"
4414,blitzen,"to flash, twinkle, use a flash (camera)","Да бисте блистали, блистали, користите блиц (камера)"
4415,auf jeden Fall,"in any case, in any event, anyway ('a_') (3 parts)","У сваком случају, у било којем случају, свеједно ('А_') (3 ​​дела)"
4416,der Ärmel; -,the sleeve,рукав
4417,sich unterhalten,"to chat, talk, to converse, amuse oneself (not 'plaudern')","да разговарате, разговарајте, да бисте разговарали, забављате себе (не ""плауден"")"
4418,die Freigabe; -n,"the release, approval, clearance (control authorization)","Издање, одобрење, одобрење (ауторизација контроле)"
4419,der Alarm; -e,"the alarm, alert (not 'Wecker')","Аларм, упозорење (не 'Вецкер')"
4420,ausreichen,"to be sufficient, enough (not 'g...', 'r...')","да буде довољно, довољно (не 'г ...', 'р ...')"
4421,das Sein; -,"the being, existence (not 'Existenz')","То је биће, постојање (не ""Екистенз"")"
4422,wie,as,као
4423,ich,I,Ја
4424,seine,his,његов
4425,dass,that,то
4426,er,he,он
4427,war,was,био
4428,für,for,за
4429,auf,on,на
4430,sind,are,су
4431,mit,with,са
4432,sie,they,они
4433,sein,be,бити
4434,bei,at,у
4435,ein,one,један
4436,haben,have,имати
4437,dies,this,ово
4438,aus,from,од
4439,durch,by,од стране
4440,heiß,hot,топло
4441,Wort,word,реч
4442,aber,but,али
4443,was,what,Шта
4444,einige,some,неки
4445,ist,is,јесте
4446,es,it,то
4447,Sie,you,ти
4448,oder,or,или
4449,hatte,had,јела
4450,die,the,тхе
4451,von,of,од
4452,zu,to,до
4453,und,and,и
4454,ein,a,а
4455,bei,in,у
4456,wir,we,ми
4457,können,can,моћи
4458,aus,out,излази
4459,andere,other,други
4460,waren,were,су
4461,die,which,која
4462,tun,do,урадите
4463,ihre,their,њихов
4464,Zeit,time,време
4465,wenn,if,ако
4466,werden,will,воља
4467,wie,how,како
4468,sagte,said,рекао
4469,ein,an,ан
4470,jeder,each,сваки
4471,sagen,tell,реците
4472,tut,does,да
4473,Satz,set,комплет
4474,drei,three,три
4475,wollen,want,жен
4476,Luft,air,ваздушни
4477,gut,well,добро
4478,auch,also,такође
4479,spielen,play,игра
4480,klein,small,мали
4481,Ende,end,крај
4482,setzen,put,ставити
4483,Zuhause,home,кућа
4484,lesen,read,читати
4485,seits,hand,ручно
4486,Hafen,port,Лука
4487,groß,large,велики
4488,buchstabieren,spell,чаролија
4489,hinzufügen,add,додати
4490,auch,even,Чак
4491,Lande,land,земљиште
4492,hier,here,овде
4493,muss,must,морам
4494,groß,big,велики
4495,hoch,high,високо
4496,so,such,такав
4497,folgen,follow,пратити
4498,Akt,act,деловати
4499,warum,why,зашто
4500,fragen,ask,питати
4501,Männer,men,мушкарци
4502,Veränderung,change,променити
4503,ging,went,отишао
4504,Licht,light,светло
4505,Art,kind,врста
4506,aus,off,ван
4507,müssen,need,потреба
4508,Haus,house,кућу
4509,Bild,picture,слика
4510,versuchen,try,покушати
4511,uns,us,нас
4512,wieder,again,опет
4513,Tier,animal,животињски
4514,Punkt,point,тачка
4515,Mutter,mother,мајка
4516,Welt,world,свет
4517,in der Nähe von,near,близу
4518,bauen,build,градити
4519,selbst,self,за себе
4520,Erde,earth,земља
4521,Vater,father,отац
4522,jeder,any,било који
4523,neu,new,Нова
4524,Arbeit,work,рад
4525,Teil,part,део
4526,nehmen,take,преузети
4527,erhalten,get,добити
4528,Ort,place,место
4529,gemacht,made,направљен
4530,leben,live,живети
4531,wo,where,где
4532,nach,after,после
4533,zurück,back,назад
4534,wenig,little,мало
4535,nur,only,само
4536,Runde,round,рунда
4537,Mann,man,човек
4538,Jahr,year,година
4539,kam,came,Дошао
4540,zeigen,show,Прикажи
4541,jeder,every,сваки
4542,gut,good,Добро
4543,mir,me,ја
4544,geben,give,дати
4545,unsere,our,наш
4546,unter,under,испод
4547,Name,name,назив
4548,sehr,very,врло
4549,durch,through,кроз
4550,nur,just,само
4551,Formular,form,образац
4552,Satz,sentence,реченица
4553,groß,great,велики
4554,denken,think,размислити
4555,sagen,say,рећи
4556,Hilfe,help,помоћ
4557,niedrig,low,низак
4558,Linie,line,линија
4559,abweichen,differ,разликовати се
4560,wiederum,turn,ред
4561,Ursache,cause,узрок
4562,viel,much,много
4563,bedeuten,mean,значити
4564,vor,before,пре него што
4565,Umzug,move,потез
4566,Recht,right,јел тако
4567,Junge,boy,дечак
4568,alt,old,стар
4569,zu,too,такође
4570,gleich,same,исти
4571,sie,she,она
4572,alle,all,све
4573,da,there,тамо
4574,wenn,when,када
4575,nach oben,up,уп
4576,Verwendung,use,употреба
4577,Ihre,your,твој
4578,Weg,way,начин
4579,über,about,О томе
4580,viele,many,много
4581,dann,then,онда
4582,sie,them,њих
4583,schreiben,write,писати
4584,würde,would,би
4585,wie,like,као
4586,so,so,тако
4587,diese,these,ове
4588,sie,her,њеној
4589,lange,long,дугачак
4590,machen,make,направити
4591,Sache,thing,ствар
4592,sehen,see,видети
4593,ihm,him,њега
4594,zwei,two,два
4595,hat,has,је
4596,suchen,look,гледати
4597,mehr,more,више
4598,Tag,day,дан
4599,könnte,could,могао
4600,gehen,go,ићи
4601,kommen,come,доћи
4602,tat,did,пре
4603,Anzahl,number,број
4604,klingen,sound,звук
4605,nicht,no,не
4606,am meisten,most,највише
4607,Menschen,people,људи
4608,meine,my,мој
4609,über,over,преко
4610,wissen,know,знати
4611,Wasser,water,водити воду
4612,als,than,него
4613,Anruf,call,назвати
4614,erste,first,први
4615,die,who,СЗО
4616,können,may,може
4617,nach unten,down,надиграти се
4618,Seite,side,на страни
4619,gewesen,been,бити
4620,jetzt,now,Сада
4621,finden,find,пронаћи
4622,Kopf,head,глава
4623,stehen,stand,штанд
4624,besitzen,own,властити
4625,Seite,page,страна
4626,sollte,should,требало би
4627,Land,country,земља
4628,gefunden,found,нашао
4629,Antwort,answer,одговор
4630,Schule,school,школски
4631,wachsen,grow,расти
4632,Studie,study,студија
4633,noch,still,још увек
4634,lernen,learn,научити
4635,Anlage,plant,постројење
4636,Abdeckung,cover,покривати
4637,Lebensmittel,food,храна
4638,Sonne,sun,сунце
4639,vier,four,четворо
4640,zwischen,between,између
4641,Zustand,state,држава
4642,halten,keep,задржати
4643,Auge,eye,око
4644,nie,never,невер
4645,letzte,last,задњи
4646,lassen,let,дозволити
4647,Gedanken,thought,мисао
4648,Stadt,city,град
4649,Baum,tree,дрво
4650,überqueren,cross,крст
4651,Bauernhof,farm,фарма
4652,schwer,hard,тежак
4653,Beginn,start,почетак
4654,Macht,might,моћ
4655,Geschichte,story,причу
4656,Säge,saw,Тестера
4657,weit,far,далеко
4658,Meer,sea,море
4659,ziehen,draw,нацртати
4660,links,left,лево
4661,spät,late,касно
4662,laufen,run,трцати
4663,unterlassen Sie,don’t,не
4664,während,while,док
4665,Presse,press,притиснути
4666,Schließen,close,Близу
4667,Nacht,night,ноћ
4668,realen,real,прави
4669,Leben,life,живот
4670,wenige,few,мало
4671,Norden,north,северно
4672,Buch,book,књига
4673,tragen,carry,пренети
4674,nahm,took,преузети
4675,Wissenschaft,science,Наука
4676,essen,eat,јести
4677,Zimmer,room,соба
4678,Freund,friend,пријатељ
4679,begann,began,почео
4680,Idee,idea,идеја
4681,Fisch,fish,риба
4682,berg,mountain,планина
4683,Stopp,stop,зауставити
4684,einmal,once,једном
4685,Basis,base,база
4686,hören,hear,чути
4687,Pferd,horse,коња
4688,Schnitt,cut,сећи
4689,sicher,sure,наравно
4690,beobachten,watch,гледати
4691,Farbe,color,боја
4692,Gesicht,face,лице
4693,Holz,wood,дрва
4694,Haupt-,main,главни
4695,geöffnet,open,отворен
4696,scheinen,seem,изгледати
4697,zusammen,together,заједно
4698,nächste,next,следећи
4699,weiß,white,бео
4700,Kinder,children,деца
4701,Start,begin,започети
4702,bekam,got,пре
4703,gehen,walk,ходати
4704,Beispiel,example,пример
4705,erleichtern,ease,"ублажити, лакоца"
4706,Papier,paper,папир
4707,Gruppe,group,група
4708,immer,always,увек
4709,Musik,music,музика
4710,diejenigen,those,они
4711,beide,both,и једно и друго
4712,Marke,mark,означити
4713,oft,often,често
4714,Schreiben,letter,слово
4715,bis,until,све док
4716,Meile,mile,миља
4717,Fluss,river,река
4718,Auto,car,аутомобил
4719,Füße,feet,стопала
4720,Pflege,care,нега
4721,zweite,second,на другом месту
4722,genug,enough,довољно
4723,Ebene,plain,обичан
4724,Mädchen,girl,девојка
4725,üblich,usual,уобичајен
4726,jung,young,млад
4727,bereit,ready,спреман
4728,oben,above,горе
4729,je,ever,икад
4730,rot,red,црвено
4731,Liste,list,листа
4732,obwohl,though,иако
4733,fühlen,feel,осетити
4734,Vortrag,talk,разговарати
4735,Vogel,bird,птица
4736,bald,soon,ускоро
4737,Körper,body,тело
4738,Hund,dog,пас
4739,Familie,family,породица
4740,direkt,direct,директан
4741,Pose,pose,ставити на место
4742,verlassen,leave,одсуствовати
4743,Lied,song,песма
4744,messen,measure,мера
4745,Tür,door,врата
4746,Produkt,product,производ
4747,schwarz,black,црн
4748,kurz,short,кратак
4749,Zahl,numeral,нумерички
4750,Klasse,class,класа
4751,Wind,wind,ветар
4752,Frage,question,питање
4753,passieren,happen,десити се
4754,vollständig,complete,комплетан
4755,Schiff,ship,брод
4756,Bereich,area,област
4757,Hälfte,half,половина
4758,Stein,rock,роцк
4759,bestellen,order,наредити
4760,Feuer,fire,ватра
4761,Süden,south,јужно
4762,Problem,problem,проблем
4763,Stück,piece,комад
4764,sagte,told,рекао
4765,wusste,knew,знати
4766,passieren,pass,прећи
4767,seit,since,Од
4768,obere,top,на врху
4769,ganze,whole,целина
4770,König,king,краљ
4771,Straße,street,улица
4772,Zoll,inch,инч
4773,multiplizieren,multiply,множити се
4774,nichts,nothing,ништа
4775,Kurs,course,курс
4776,bleiben,stay,остати
4777,Rad,wheel,точак
4778,voll,full,пун
4779,Kraft,force,сила
4780,blau,blue,Плави
4781,Objekt,object,објект
4782,entscheiden,decide,одлучити
4783,Oberfläche,surface,површина
4784,tief,deep,дубоко
4785,Mond,moon,месец
4786,Insel,island,острво
4787,Fuß,foot,стопало
4788,System,system,систем
4789,beschäftigt,busy,Заузет
4790,Prüfung,test,тест
4791,Rekord,record,запис
4792,Boot,boat,чамац
4793,gemeinsam,common,заједнички
4794,goldenen,gold,злато
4795,möglich,possible,могућ
4796,Flugzeug,plane,авион
4797,statt,stead,причврстити
4798,trocken,dry,СУВ
4799,Wunder,wonder,питати се
4800,Lachen,laugh,смех
4801,tausend,thousand,хиљада
4802,vor,ago,пре
4803,lief,ran,натрчати
4804,überprüfen,check,проверавати
4805,Spiel,game,игра
4806,Form,shape,облик
4807,gleichsetzen,equate,изједначити
4808,heiß,hot,топло
4809,Fehl,miss,Госпођица
4810,gebracht,brought,доведен
4811,Wärme,heat,топлота
4812,Schnee,snow,снијег
4813,Reifen,tire,гума
4814,bringen,bring,довести
4815,ja,yes,да
4816,entfernt,distant,удаљен
4817,füllen,fill,нанети
4818,Osten,east,исток
4819,malen,paint,сликати
4820,Sprache,language,Језик
4821,unter,among,међу
4822,Einheit,unit,јединица
4823,Macht,power,снага
4824,Stadt,town,Град
4825,fein,fine,у реду
4826,sicher,certain,известан
4827,fliegen,fly,летети
4828,fallen,fall,пасти
4829,führen,lead,олово
4830,Schrei,cry,плакати
4831,dunkel,dark,мрак
4832,Maschine,machine,машина
4833,note,note,Белешка
4834,warten,wait,чекати
4835,Plan,plan,план
4836,Abbildung,figure,фигура
4837,Stern,star,Звезда
4838,Kasten,box,кутија
4839,Nomen,noun,именица
4840,Feld,field,поље
4841,Rest,rest,одмор
4842,richtig,correct,тачан
4843,fähig,able,способан
4844,Pfund,pound,фунта
4845,getan,done,Готово
4846,Schönheit,beauty,лепота
4847,Antriebs,drive,погон
4848,stand,stood,стајао
4849,enthalten,contain,садржати
4850,Front,front,предњи део
4851,lehren,teach,учити
4852,Woche,week,Недеља
4853,Finale,final,коначни
4854,gab,gave,давао
4855,grün,green,зелен
4856,oh,oh,ох
4857,schnell,quick,брзо
4858,entwickeln,develop,развити
4859,Ozean,ocean,океан
4860,warme,warm,топло
4861,kostenlos,free,бесплатно
4862,Minute,minute,минут
4863,stark,strong,јак
4864,besondere,special,посебан
4865,Geist,mind,ум
4866,hinter,behind,иза
4867,klar,clear,јасно
4868,Schwanz,tail,Реп
4869,produzieren,produce,произвести
4870,Tatsache,fact,чињеница
4871,Raum,space,размак
4872,gehört,heard,слушао
4873,beste,best,најбољи
4874,Stunde,hour,час
4875,besser,better,боље
4876,wahr,TRUE,ИСТИНА
4877,während,during,у току
4878,hundert,hundred,стотину
4879,fünf,five,пет
4880,merken,remember,запамтити
4881,Schritt,step,Корак
4882,früh,early,рано
4883,halten,hold,држати
4884,Westen,west,запад
4885,Boden,ground,звати
4886,Interesse,interest,камате
4887,erreichen,reach,досећи
4888,schnell,fast,брз
4889,Verbum,verb,глагол
4890,singen,sing,певати
4891,hören,listen,слушати
4892,sechs,six,шест
4893,Tabelle,table,сто
4894,Reise,travel,путовати
4895,weniger,less,мање
4896,Morgen,morning,јутро
4897,zehn,ten,десет
4898,einfach,simple,једноставан
4899,mehrere,several,неколико
4900,Vokal,vowel,самогласник
4901,auf,toward,према
4902,Krieg,war,рат
4903,legen,lay,лежати
4904,gegen,against,против
4905,Muster,pattern,шаблон
4906,schleppend,slow,спор
4907,Zentrum,center,центер
4908,Liebe,love,љубав
4909,Person,person,особа
4910,Geld,money,новац
4911,dienen,serve,служити
4912,erscheinen,appear,појавити
4913,Straße,road,пут
4914,Karte,map,Мапа
4915,regen,rain,киша
4916,Regel,rule,владавина
4917,regieren,govern,управљати
4918,ziehen,pull,повући
4919,Kälte,cold,прехлађен
4920,Hinweis,notice,објава
4921,Stimme,voice,глас
4922,Energie,energy,енергија
4923,Jagd,hunt,ловити
4924,wahrscheinlich,probable,вероватан
4925,Bett,bed,надимак
4926,Bruder,brother,брат
4927,Ei,egg,јаје
4928,Fahrt,ride,возити се
4929,Zelle,cell,мобилни
4930,glauben,believe,веровати
4931,vielleicht,perhaps,можда
4932,pflücken,pick,изабрати
4933,plötzlich,sudden,изненадан
4934,zählen,count,рачунати
4935,Platz,square,квадрат
4936,Grund,reason,разлог
4937,Dauer,length,дужина
4938,vertreten,represent,заступати
4939,Kunst,art,уметност
4940,Thema,subject,предмет
4941,Region,region,регион
4942,Größe,size,величина
4943,variieren,vary,варирати
4944,regeln,settle,населити се
4945,sprechen,speak,говорити
4946,Gewicht,weight,тежина
4947,allgemein,general,Генерал
4948,Eis,ice,лед
4949,Materie,matter,материсати
4950,Kreis,circle,круг
4951,Paar,pair,паузати
4952,umfassen,include,укључити
4953,Kluft,divide,подела
4954,Silbe,syllable,слог
4955,Filz,felt,осетио
4956,groß,grand,велик
4957,Kugel,ball,лоптица
4958,noch,yet,ипак
4959,Welle,wave,таласати
4960,fallen,drop,кап
4961,Herz,heart,срце
4962,Uhr,am,сам
4963,vorhanden,present,поклон
4964,schwer,heavy,тежак
4965,Tanz,dance,плесати
4966,Motor,engine,мотор
4967,Position,position,положај
4968,Arm,arm,рука
4969,breit,wide,широк
4970,Segel,sail,једрити
4971,Material,material,материјал
4972,Fraktion,fraction,фракција
4973,Wald,forest,шума
4974,sitzen,sit,седети
4975,Rennen,race,трка
4976,Fenster,window,прозор
4977,Speicher,store,чувати
4978,Sommer,summer,лето
4979,Zug,train,возити
4980,Schlaf,sleep,спавати
4981,beweisen,prove,доказати
4982,einsam,lone,усамљен
4983,Bein,leg,нога
4984,Übung,exercise,вежби
4985,Wand,wall,зид
4986,Fang,catch,улов
4987,Berg,mount,монтирати
4988,wünschen,wish,желети
4989,Himmel,sky,небо
4990,Board,board,"одбор, табла"
4991,Freude,joy,радост
4992,Winter,winter,зима
4993,sa,sat,сет
4994,geschrieben,written,написано
4995,wilden,wild,дивљи
4996,Instrument,instrument,инструмент
4997,gehalten,kept,задржан
4998,Glas,glass,стакло
4999,Gras,grass,трава
5000,Kuh,cow,крава
5001,Arbeit,job,посао
5002,Rand,edge,Ивица
5003,Zeichen,sign,знак
5004,Besuch,visit,посетити
5005,Vergangenheit,past,прошлост
5006,weich,soft,мекан
5007,Spaß,fun,забавно
5008,hell,bright,светао
5009,Gases,gas,гасни
5010,Wetter,weather,време
5011,Monat,month,месец дана
5012,Million,million,милион
5013,tragen,bear,медвед
5014,Finish,finish,завршити
5015,glücklich,happy,срећан
5016,hoffen,hope,надати се
5017,blume,flower,цвет
5018,kleiden,clothe,платман
5019,seltsam,strange,чудан
5020,Vorbei,gone,отишла
5021,Handel,trade,трговина
5022,Melodie,melody,мелодија
5023,Reise,trip,путовање
5024,Büro,office,уред
5025,empfangen,receive,примити
5026,Reihe,row,ред
5027,Mund,mouth,уста
5028,genau,exact,тачан
5029,Zeichen,symbol,симбол
5030,sterben,die,умрети
5031,am wenigsten,least,најмање
5032,Ärger,trouble,невоља
5033,Schrei,shout,узвик
5034,außer,except,осим
5035,schrieb,wrote,писао
5036,Samen,seed,семе
5037,Ton,tone,тон
5038,beitreten,join,придружити
5039,vorschlagen,suggest,предложити
5040,sauber,clean,чист
5041,Pause,break,пауза
5042,Dame,lady,дама
5043,Hof,yard,двориште
5044,steigen,rise,устати
5045,schlecht,bad,лош
5046,Schlag,blow,ударац
5047,Öl,oil,уље
5048,Blut,blood,крв
5049,berühren,touch,додирнути
5050,wuchs,grew,растао
5051,Cent,cent,цента
5052,mischen,mix,мешати
5053,Mannschaft,team,тим
5054,Draht,wire,жица
5055,Kosten,cost,трошак
5056,verloren,lost,изгубљен
5057,braun,brown,смеђа
5058,tragen,wear,носити
5059,Garten,garden,башта
5060,gleich,equal,равноправан
5061,gesendet,sent,послати
5062,wählen,choose,изабрати
5063,fiel,fell,пао
5064,passen,fit,прикладан
5065,fließen,flow,проток
5066,Messe,fair,сајам
5067,Bank,bank,банка
5068,sammeln,collect,прикупити
5069,sparen,save,сачувати
5070,Kontrolle,control,контрола
5071,dezimal,decimal,децималан
5072,Ohr,ear,ухо
5073,sonst,else,друго
5074,ganz,quite,прилично
5075,pleite,broke,сломио
5076,Fall,case,случај
5077,Mitte,middle,у средини
5078,töten,kill,убити
5079,Sohn,son,сине
5080,See,lake,језеро
5081,Moment,moment,момент
5082,Maßstab,scale,Скала
5083,laut,loud,гласан
5084,Frühling,spring,пролеће
5085,beobachten,observe,посматрати
5086,Kind,child,дете
5087,gerade,straight,равно
5088,Konsonant,consonant,Сугласник
5089,Nation,nation,народ
5090,Wörterbuch,dictionary,речник
5091,milch,milk,млеко
5092,Geschwindigkeit,speed,брзина
5093,Verfahren,method,метод
5094,Orgel,organ,орган
5095,zahlen,pay,платити
5096,Alter,age,старост
5097,Abschnitt,section,одељак
5098,Kleid,dress,хаљина
5099,Wolke,cloud,облак
5100,Überraschung,surprise,изненађење
5101,ruhig,quiet,тихо
5102,Stein,stone,камен
5103,winzig,tiny,сићушан
5104,Aufstieg,climb,попети се
5105,kühlen,cool,хладан
5106,Entwurf,design,дизајн
5107,arm,poor,сиромашан
5108,Menge,lot,много
5109,Versuch,experiment,експеримент
5110,Boden,bottom,дно
5111,Schlüssel,key,кључ
5112,Eisen,iron,гвожђе
5113,Einzel,single,једно
5114,Stick,stick,залепити
5115,Wohnung,flat,раван
5116,zwanzig,twenty,двадесет
5117,Haut,skin,кожа
5118,Lächeln,smile,осмех
5119,Falte,crease,нарамити
5120,Loch,hole,рупа
5121,springen,jump,скочити
5122,Kind,baby,беба
5123,acht,eight,осам
5124,Dorf,village,село
5125,treffen,meet,сусрет
5126,Wurzel,root,корен
5127,kaufen,buy,купити
5128,erhöhen,raise,подићи
5129,lösen,solve,решити
5130,Metall,metal,метал
5131,ob,whether,да ли је
5132,drücken,push,гурати
5133,sieben,seven,седам
5134,Absatz,paragraph,ставак
5135,dritte,third,трећи
5136,wird,shall,да
5137,Hand,held,Одржан
5138,Haar,hair,коса
5139,beschreiben,describe,описати
5140,Koch,cook,кувар
5141,Boden,floor,под
5142,entweder,either,или
5143,Ergebnis,result,резултат
5144,brennen,burn,горети
5145,Hügel,hill,брдо
5146,sicher,safe,сеф
5147,Katze,cat,мачка
5148,Jahrhundert,century,век
5149,betrachten,consider,размотрити
5150,Typ,type,тип
5151,Gesetz,law,закон
5152,Bit,bit,мало
5153,Küste,coast,обала
5154,Kopie,copy,копија
5155,Ausdruck,phrase,фраза
5156,still,silent,ћудљив
5157,hoch,tall,висок
5158,Sand,sand,песак
5159,Boden,soil,тло
5160,Rolle,roll,ролање
5161,Temperatur,temperature,температура
5162,Finger,finger,прст
5163,Industrie,industry,индустрија
5164,Wert,value,вредност
5165,Kampf,fight,борба
5166,Lüge,lie,лагати
5167,schlagen,beat,победити
5168,begeistern,excite,узбудити
5169,natürlich,natural,природњак
5170,Blick,view,поглед
5171,Sinn,sense,осећај
5172,Hauptstadt,capital,главни град
5173,wird nicht,won’t,неће
5174,Stuhl,chair,столица
5175,Achtung,danger,опасност
5176,Obst,fruit,воће
5177,reich,rich,богат
5178,dick,thick,дебео
5179,Soldat,soldier,војник
5180,Prozess,process,процес
5181,betreiben,operate,радити
5182,Praxis,practice,пракса
5183,trennen,separate,засебан
5184,schwierig,difficult,тежак
5185,Arzt,doctor,лекар
5186,Bitte,please,Молимо вас
5187,schützen,protect,заштитити
5188,Mittag,noon,подне
5189,Ernte,crop,усев
5190,modernen,modern,модеран
5191,Elementes,element,елемент
5192,treffen,hit,погодити
5193,Schüler,student,ученик
5194,Ecke,corner,угао
5195,Partei,party,журка
5196,Versorgung,supply,снабдевање
5197,deren,whose,чији
5198,lokalisieren,locate,лоцирати
5199,Rings,ring,прстен
5200,Charakter,character,карактер
5201,insekt,insect,инсект
5202,gefangen,caught,ухваћен
5203,Zeit,period,раздобље
5204,zeigen,indicate,навести
5205,Funk,radio,радио
5206,Speiche,spoke,говорио је
5207,Atom,atom,атом
5208,Mensch,human,људски
5209,Geschichte,history,историја
5210,Wirkung,effect,утицај
5211,elektrisch,electric,електричан
5212,erwarten,expect,очекивати
5213,Knochen,bone,кост
5214,Schiene,rail,железничар
5215,vorstellen,imagine,замислити
5216,bieten,provide,обезбедити
5217,zustimmen,agree,договорити се
5218,so,thus,тако
5219,sanft,gentle,нежан
5220,Frau,woman,жена
5221,Kapitän,captain,капетан
5222,erraten,guess,погодити
5223,erforderlich,necessary,неопходан
5224,scharf,sharp,оштар
5225,Flügel,wing,крило
5226,schaffen,create,Креирај
5227,Nachbar,neighbor,комшија
5228,Wasch,wash,опрати
5229,Fledermaus,bat,шишмиш
5230,eher,rather,радије
5231,Menge,crowd,гомила
5232,mais,corn,кукуруз
5233,vergleichen,compare,упоредити
5234,Gedicht,poem,песма
5235,Schnur,string,низ
5236,Glocke,bell,звоно
5237,abhängen,depend,зависити
5238,Fleisch,meat,месо
5239,einreiben,rub,утрљати
5240,Rohr,tube,цев
5241,berühmt,famous,познати
5242,Dollar,dollar,долар
5243,Strom,stream,поток
5244,Angst,fear,бојати се
5245,Blick,sight,призор
5246,dünn,thin,танак
5247,Dreieck,triangle,троугао
5248,Erde,planet,Планета
5249,Eile,hurry,пожурити
5250,Chef,chief,Шеф
5251,Kolonie,colony,колонија
5252,Uhr,clock,сат
5253,Mine,mine,мин
5254,Krawatte,tie,кравата
5255,eingeben,enter,ући
5256,Dur,major,главни
5257,frisch,fresh,свеж
5258,Suche,search,Претрага
5259,senden,send,пошаљи
5260,gelb,yellow,жути
5261,Pistole,gun,пиштољ
5262,erlauben,allow,дозволити
5263,Druck,print,штампа
5264,tot,dead,мртав
5265,Stelle,spot,место
5266,Wüste,desert,пустиња
5267,Anzug,suit,одело
5268,Strom,current,Тренутни
5269,Aufzug,lift,лифт
5270,stiegen,rose,ружа
5271,ankommen,arrive,стићи
5272,Stamm,master,магистрирати
5273,Spur,track,траг
5274,Elternteil,parent,родитељски
5275,Ufer,shore,обала
5276,Teilung,division,дивизија
5277,Blatt,sheet,лист
5278,Substanz,substance,супстанца
5279,begünstigen,favor,наклонити
5280,verbinden,connect,повезати
5281,nach,post,пошта
5282,verbringen,spend,проводити
5283,Akkord,chord,акорд
5284,Fett,fat,дебео
5285,froh,glad,драга
5286,Original,original,оригинал
5287,Aktie,share,Објави
5288,Station,station,станица
5289,Papa,dad,тата
5290,Brot,bread,хлеб
5291,aufladen,charge,напунити
5292,richtig,proper,правилан
5293,Leiste,bar,бара
5294,Angebot,offer,понудити
5295,Segment,segment,сегмент
5296,Sklave,slave,Роб
5297,ente,duck,патка
5298,Augenblick,instant,тренутак
5299,Markt,market,тржиште
5300,Grad,degree,степен
5301,besiedeln,populate,населити
5302,küken,chick,пиле
5303,liebe,dear,драги
5304,Feind,enemy,непријатељски
5305,antworten,reply,Одговорити
5306,Getränk,drink,попити
5307,auftreten,occur,догодити се
5308,Unterstützung,support,подршка
5309,Rede,speech,говор
5310,Natur,nature,природа
5311,Angebot,range,домет
5312,Dampf,steam,паром
5313,Bewegung,motion,кретање
5314,Weg,path,стаза
5315,Flüssigkeit,liquid,течност
5316,protokollieren,log,Пријава
5317,gemeint,meant,намењен
5318,Quotient,quotient,квоцијент
5319,Gebiss,teeth,зуби
5320,Schale,shell,шкољка
5321,Hals,neck,врат
5322,Sauerstoff,oxygen,кисеоник
5323,Zucker,sugar,шећер
5324,Tod,death,смрт
5325,ziemlich,pretty,прилично
5326,Geschicklichkeit,skill,вештина
5327,Frauen,women,Жене
5328,Saison,season,годишње доба
5329,Lösung,solution,решење
5330,Magnet,magnet,Магнет
5331,Silber,silver,сребрна
5332,danken,thank,захвалити
5333,Zweig,branch,филијала
5334,Spiel,match,меч
5335,Suffix,suffix,суфикс
5336,insbesondere,especially,посебно
5337,Feige,fig,шипак
5338,ängstlich,afraid,плашити се
5339,riesig,huge,огроман
5340,Schwester,sister,сестра
5341,Stahl,steel,челик
5342,diskutieren,discuss,разговарати
5343,vorwärts,forward,напред
5344,ähnlich,similar,сличан
5345,führen,guide,Водич
5346,Erfahrung,experience,искуство
5347,Partitur,score,оценити
5348,apfel,apple,јабука
5349,gekauft,bought,купити
5350,geführt,led,ЛЕД
5351,Tonhöhe,pitch,висина тона
5352,Mantel,coat,капут
5353,Masse,mass,маса
5354,Karte,card,карта
5355,Band,band,трака
5356,Seil,rope,уже
5357,Rutsch,slip,склизнути
5358,gewinnen,win,победити
5359,träumen,dream,сањати
5360,Abend,evening,вече
5361,Zustand,condition,стање
5362,Futtermittel,feed,напајање
5363,Werkzeug,tool,оруђе
5364,gesamt,total,тотално
5365,Basis,basic,основни
5366,Geruch,smell,мирис
5367,Tal,valley,долина
